timestep,demand_kw,effective_demand_kw,battery_soc,battery_charged_kw,curtailed_energy_kw,import_price_eur_kwh,solar_declared_kw,solar_price_eur_kwh,solar_allocated_kw,solar_delivered_kw,solar_shortfall_kw,solar_cost_eur,wind_declared_kw,wind_price_eur_kwh,wind_allocated_kw,wind_delivered_kw,wind_shortfall_kw,wind_cost_eur,grid_purchased_kw,grid_cost_eur,total_cost_eur,renewable_coverage_pct,strategy_as,strategy_ae
72,55.8295,55.8295,0.05,0.0,0.0,0.14627,0.0,0.12433,0.0,0.0,0.0,0.0,80.97,0.12433,55.8295,55.8295,0.0,6.941282,0.0,0.0,6.941282,100.0,honest,honest
73,36.5585,36.5584,0.05,0.0,0.0,0.14041,0.0,0.112328,0.0,0.0,0.0,0.0,79.9287,0.119348,36.5584,36.5584,0.0,4.363172,0.0,6e-06,4.363178,100.0,honest,honest
74,36.6022,36.6022,0.05,0.0,0.0,0.13809,0.0,0.117376,0.0,0.0,0.0,0.0,79.9402,0.117376,36.6022,36.6022,0.0,4.29622,0.0,0.0,4.29622,100.0,honest,honest
75,36.6323,36.6322,0.05,0.0,0.0,0.13371,0.0,0.127024,0.0,0.0,0.0,0.0,76.5345,0.113653,36.6322,36.6322,0.0,4.163359,0.0,6e-06,4.163366,100.0,honest,honest
76,37.0072,37.0072,0.05,0.0,0.0,0.13716,0.0,0.109728,0.0,0.0,0.0,0.0,74.3877,0.116586,37.0072,37.0072,0.0,4.314521,0.0,0.0,4.314521,100.0,honest,honest
77,56.0998,56.0997,0.05,0.0,0.0,0.14493,0.0,0.12319,0.0,0.0,0.0,0.0,71.2003,0.12319,56.0997,56.0997,0.0,6.910922,0.0,4e-06,6.910926,100.0,honest,honest
78,96.0021,96.0021,0.05,0.0,0.0,0.1513,0.0,0.128605,0.0,0.0,0.0,0.0,70.9449,0.128605,70.9449,70.9449,0.0,9.123869,25.0572,3.791162,12.915031,73.9,honest,honest
79,112.0273,112.0273,0.05,0.0,0.0,0.15436,0.0,0.131206,0.0,0.0,0.0,0.0,67.9134,0.131206,67.9134,67.9134,0.0,8.910646,44.1139,6.809427,15.720072,60.62,honest,honest
80,104.0997,104.0997,0.05,0.0,0.0,0.16136,2.1147,0.137156,2.1147,2.1147,0.0,0.290044,65.0457,0.137156,65.0457,65.0457,0.0,8.921408,36.9393,5.96052,15.171972,64.52,honest,honest
81,85.3811,85.3811,0.05,0.0,0.0,0.16727,3.448,0.142179,3.448,3.448,0.0,0.490233,69.108,0.142179,69.108,69.108,0.0,9.825706,12.8251,2.14526,12.461199,84.98,honest,honest
82,104.1049,104.1049,0.05,0.0,0.0,0.15093,9.5812,0.128291,9.5812,9.5812,0.0,1.229182,68.8556,0.128291,68.8556,68.8556,0.0,8.833554,25.6681,3.874089,13.936825,75.34,honest,honest
83,106.0314,106.0314,0.05,0.0,0.0,0.12807,170.4701,0.108859,106.0314,106.0314,0.0,11.542472,68.235,0.108859,0.0,0.0,0.0,0.0,0.0,1e-06,11.542473,100.0,honest,honest
84,104.2279,104.2279,0.05,0.0,0.0,0.10762,377.0505,0.091477,104.2279,104.2279,0.0,9.534456,67.9619,0.091477,0.0,0.0,0.0,0.0,0.0,0.0,9.534456,100.0,honest,honest
85,85.4171,85.4171,0.05,0.0,0.0,0.10713,263.7332,0.091061,85.4171,85.4171,0.0,7.778167,69.6309,0.091061,0.0,0.0,0.0,0.0,0.0,0.0,7.778167,100.0,honest,honest
