datetime;generacion_mwh;precio_base_eur_mwh;multiplicador;precio_eur_mwh
2025-07-01T20:00:00+02:00;6807.997;236.74;0.9888;234.096
2025-07-01T21:00:00+02:00;7057.867;284.79;0.979;278.811
2025-07-01T22:00:00+02:00;7700.48;211.01;0.9537;201.247
2025-07-01T23:00:00+02:00;6663.912;177.55;0.9945;176.573
2025-07-02T00:00:00+02:00;5640.537;159.15;1.0347;164.68
2025-07-02T01:00:00+02:00;5217.849;147.76;1.0514;155.351
2025-07-02T02:00:00+02:00;4820.09;138.82;1.067;148.123
2025-07-02T03:00:00+02:00;4294.758;135.89;1.0877;147.804
2025-07-02T04:00:00+02:00;4060.848;136.31;1.0969;149.515
2025-07-02T05:00:00+02:00;3807.122;136.08;1.1069;150.621
2025-07-02T06:00:00+02:00;3669.62;136.17;1.1123;151.457
2025-07-02T07:00:00+02:00;3558.328;139.62;1.1166;155.905
2025-07-02T08:00:00+02:00;3474.039;163.92;1.12;183.583
2025-07-02T09:00:00+02:00;3347.862;155.82;1.1249;175.284
2025-07-02T10:00:00+02:00;3454.488;196.86;1.1207;220.625
2025-07-02T11:00:00+02:00;3552.431;190.54;1.1169;212.808
2025-07-02T12:00:00+02:00;3762.943;183.57;1.1086;203.504
2025-07-02T13:00:00+02:00;4258.655;181.01;1.0891;197.137
2025-07-02T14:00:00+02:00;5069.399;115.47;1.0572;122.076
2025-07-02T15:00:00+02:00;6211.469;117.47;1.0123;118.914
2025-07-02T16:00:00+02:00;8063.543;125.94;0.9395;118.315
2025-07-02T17:00:00+02:00;9509.038;127.33;0.8826;112.382
2025-07-02T18:00:00+02:00;11432.768;204.48;0.8069;165.005
2025-07-02T19:00:00+02:00;12435.331;226.12;0.7675;173.551
2025-07-02T20:00:00+02:00;12380.982;231.82;0.7697;178.422
2025-07-02T21:00:00+02:00;12204.466;245.31;0.7766;190.507
2025-07-02T22:00:00+02:00;11472.943;177.88;0.8054;143.259
2025-07-02T23:00:00+02:00;11377.131;161.72;0.8091;130.854
2025-07-03T00:00:00+02:00;10563.765;142.34;0.8411;119.726
2025-07-03T01:00:00+02:00;10327.885;141.23;0.8504;120.102
2025-07-03T02:00:00+02:00;9949.906;140.84;0.8653;121.864
2025-07-03T03:00:00+02:00;10053.681;130.72;0.8612;112.574
2025-07-03T04:00:00+02:00;10364.713;119.95;0.849;101.832
2025-07-03T05:00:00+02:00;10458.189;129.11;0.8453;109.134
2025-07-03T06:00:00+02:00;10003.265;140.62;0.8632;121.379
2025-07-03T07:00:00+02:00;9258.502;146.37;0.8925;130.629
2025-07-03T08:00:00+02:00;8123.024;168.07;0.9371;157.501
2025-07-03T09:00:00+02:00;7077.769;124.85;0.9782;122.131
2025-07-03T10:00:00+02:00;6609.162;188.34;0.9967;187.71
2025-07-03T11:00:00+02:00;6355.292;175.52;1.0066;176.685
2025-07-03T12:00:00+02:00;5753.64;160.36;1.0303;165.219
2025-07-03T13:00:00+02:00;5362.629;152.25;1.0457;159.204
2025-07-03T14:00:00+02:00;5283.538;88.93;1.0488;93.269
2025-07-03T15:00:00+02:00;5584.536;107.52;1.037;111.493
2025-07-03T16:00:00+02:00;6295.634;116.39;1.009;117.436
2025-07-03T17:00:00+02:00;7216.388;134.69;0.9728;131.023
2025-07-03T18:00:00+02:00;7677.137;219.65;0.9547;209.689
2025-07-03T19:00:00+02:00;8239.35;233.49;0.9325;217.739
2025-07-03T20:00:00+02:00;9195.155;241.2;0.895;215.862
2025-07-03T21:00:00+02:00;10826.074;266.88;0.8308;221.726
2025-07-03T22:00:00+02:00;11221.06;198.53;0.8153;161.856
2025-07-03T23:00:00+02:00;11212.257;174.97;0.8156;142.709
2025-07-04T00:00:00+02:00;10529.248;135.9;0.8425;114.493
2025-07-04T01:00:00+02:00;9477.155;133.76;0.8839;118.225
2025-07-04T02:00:00+02:00;10079.278;133.41;0.8602;114.756
2025-07-04T03:00:00+02:00;10088.344;130.23;0.8598;111.975
2025-07-04T04:00:00+02:00;10008.317;130.37;0.863;112.505
2025-07-04T05:00:00+02:00;8585.802;130.9;0.9189;120.286
2025-07-04T06:00:00+02:00;7542.925;136.9;0.9599;131.414
2025-07-04T07:00:00+02:00;6241.868;140.99;1.0111;142.555
2025-07-04T08:00:00+02:00;5166.079;161.74;1.0534;170.378
2025-07-04T09:00:00+02:00;4560.069;141.65;1.0772;152.591
2025-07-04T10:00:00+02:00;4316.837;190.6;1.0868;207.145
2025-07-04T11:00:00+02:00;4004.641;187.99;1.0991;206.617
2025-07-04T12:00:00+02:00;3670.023;191.43;1.1122;212.917
2025-07-04T13:00:00+02:00;3350.227;189.41;1.1248;213.053
2025-07-04T14:00:00+02:00;3169.615;124.16;1.1319;140.54
2025-07-04T15:00:00+02:00;3226.528;124.5;1.1297;140.646
2025-07-04T16:00:00+02:00;3402.929;123.69;1.1227;138.873
2025-07-04T17:00:00+02:00;3700.178;127.28;1.1111;141.416
